0011010100100100	010010000110101001001000011010100100100001101010010000000
0101111010000001	011101000000101011110100000010101111010000001010111100000
1101011000001001	001110101100000100111010110000010011101011000001001100000
0101011001100011	001100011010101100110001101010110011000110101011001100000
0111101100001101	011101100001101011110110000110101111011000011010111100000
1001100110001101	011011001100110001101100110011000110110011001100011000000
1000010001100101	000011001011000010001100101100001000110010110000100000000
0101001000010010	001010010000100100101001000010010010100100001001001000000
1110001100000001	000000111100011000000011110001100000001111000110000000000
1100110100001101	011010000110111001101000011011100110100001101110011000000
