0011010100100100	00000000000000001101010010010000110101001001000011010100
0101111010000001	01000000000000000000010111101000000101011110100000010101
1101011000001001	10100000010000000000000000110101100000100111010110000010
0101011001100011	10000000000000000101011001100011010101100110001101010110
0111101100001101	10001100000000000000000111101100001101011110110000110101
1001100110001101	10110000110100000000000000001001100110001101100110011000
1000010001100101	11000000000000000010000100011001011000010001100101100001
0101001000010010	01100101000000000000000001010010000100100101001000010010
1110001100000001	11001000010010111000110000000111100011000000011110001100
1100110100001101	00010000000000000000110011010000110111001101000011011100
